100,UNIQUE_AVG: m=100 const anomaly=5
1,618492.578461,618492.578461
2,315937.640086,272045.083895
3,616163.809226,591787.135454
4,600975.696890,594278.751970
5,384672.227821,409331.991954
6,486700.478436,487936.982312
7,574854.102234,540865.834429
8,658549.249389,595949.656898
9,466960.493999,506879.625520
10,443876.205517,423533.472463
11,463348.830017,450461.431858
12,529146.925137,553996.952870
13,501478.095681,519383.063653
14,674178.041837,599454.961144
15,579972.763174,597615.217570
16,414705.776921,385516.887273
17,451593.310287,450331.828948
18,603445.741325,591282.604021
19,576687.301928,581571.814384
20,504121.877713,473126.876349
21,525654.724726,586702.749521
22,519674.893856,506838.238521
23,491470.439348,522689.711836
24,477163.916843,421248.456343
25,536620.584567,514944.503549
26,484719.110427,459308.299409
27,434517.146353,443124.467849
28,421441.738515,458205.116603
29,487033.075515,527577.479262
30,487040.684199,445717.605483
31,459750.364565,490940.952944
32,508998.807641,567362.212951
33,497638.522451,521751.645152
34,419173.829830,419103.563705
35,554771.698041,584691.158227
36,462592.317437,447711.627989
37,444736.632632,480806.243886
38,530166.453597,464286.259101
39,494301.059042,524558.514510
40,512156.731047,479683.111314
41,547920.768025,546528.075165
42,447284.963706,453598.120297
43,509177.711535,491260.393082
44,441849.246813,487958.816364
45,544841.039692,544934.002646
46,565067.383046,481350.721386
47,489490.279466,498378.056768
48,396891.985701,428827.589792
49,452836.342635,461684.735276
50,578970.506679,509239.258978
51,449055.284761,449661.557780
52,563015.191681,536704.272540
53,503536.297133,460573.743369
54,579991.725881,534339.629439
55,446507.616205,485155.793544
56,536944.368221,554171.647421
57,549575.374164,533324.227814
58,563982.747167,502677.330884
59,512700.177318,537416.289499
60,528283.568846,544593.518622
61,570140.982620,533677.988778
62,560915.578489,549490.192058
63,411656.300547,427288.363051
64,495342.643076,500993.528476
65,456381.114130,484950.123076
66,457653.510344,500169.579626
67,550302.156601,482391.466224
68,498341.852993,511992.230538
69,482566.833715,505295.192364
70,492733.897163,488090.347450
71,511010.037590,487956.755500
72,508356.731948,481982.768139
73,550332.821746,464217.135145
74,487048.260779,513206.146689
75,513684.661284,530321.562097
76,427465.807473,452921.076374
77,383196.040154,454247.487541
78,443602.387890,457395.491260
79,458782.342220,502558.211602
80,531904.649610,495018.980995
81,517763.738322,507759.997455
82,431613.569383,495700.514811
83,374817.523532,418293.723982
84,482765.100511,499523.966462
85,463538.250792,477829.026852
86,491088.840956,555477.176960
87,575282.272207,541487.610459
88,463109.294227,490285.152143
89,483362.121668,538067.992256
90,439574.594739,478526.253994
91,514441.574344,475305.270232
92,492835.479925,502433.355628
93,498228.585905,505316.522156
94,492145.182486,511480.597774
95,494332.035064,456712.889192
96,592658.355294,569448.725927
97,481363.534038,525278.945147
98,532143.085019,506225.780843
99,556548.463084,544884.904288
100,459735.100990,485182.622171
101,529626.119547,532894.299132
102,513289.764072,500801.799968
103,474240.876167,494244.474642
104,453257.570930,453869.545410
105,434830.011173,496465.378216
106,466911.045024,469593.060086
107,595234.739107,573536.836119
108,534520.499067,501520.257654
109,525828.611596,517019.642470
110,511906.278752,503636.380381
111,544350.567147,498851.006652
112,510845.380934,516698.124276
113,480653.735569,431477.322474
114,456488.471819,480333.485316
115,521380.770916,537342.399508
116,478235.743177,499597.878117
117,475224.572721,488761.175597
118,473300.384013,468543.983726
119,494105.982168,475628.374589
120,433031.217042,451358.786665
121,560666.909332,534160.584280
122,510272.336304,519888.585239
123,480553.785533,488246.920554
124,464163.420730,513818.212105
125,548040.425998,505351.195647
126,549219.051614,487280.077831
127,512298.685885,525371.414316
128,611267.531804,589563.762119
129,524954.384380,551518.860257
130,532844.567988,527308.168392
131,475492.046622,489059.390777
132,461910.243811,469618.388660
133,513567.386022,512450.519946
134,538941.155058,525850.274302
135,533525.341775,521589.106089
136,544168.476409,513789.918391
137,516513.624916,508102.210971
138,489674.776930,486804.993199
139,545780.790347,533765.256288
140,463605.783659,507200.093848
141,510924.963948,533236.312566
142,482290.089537,480843.448798
143,456016.230537,527604.149470
144,530492.265891,498678.431485
145,485226.656358,465821.615272
146,519962.448155,502001.654805
147,454463.442984,493249.998875
148,529635.922007,510840.999706
149,442899.227685,488462.377962
150,490626.215186,490343.208182
151,502056.619677,500376.925131
152,559697.146062,544346.221914
153,556710.665682,507440.950826
154,514002.132455,526354.486379
155,465770.124602,496732.322421
156,452774.239526,495218.421736
157,526666.159124,511636.953352
158,482817.965642,518260.160505
159,482460.865960,461843.493185
160,472790.643445,529710.570320
161,504054.307433,506512.934115
162,523471.324210,457716.436718
163,525856.633589,514818.863164
164,477477.295047,518375.681474
165,518785.034409,479173.161851
166,486791.859484,506082.758061
167,478142.446182,506288.203451
168,509245.296693,502498.492826
169,489641.141540,489624.772165
170,504350.725680,479544.741133
171,489791.693018,495064.654009
172,476710.738421,497297.454280
173,461593.662025,486334.587748
174,525628.144001,490202.325460
175,500817.696815,516919.337979
176,490220.879531,510772.290443
177,506657.406363,481699.440217
178,469151.462653,520087.301850
179,529118.655597,516318.547966
180,519937.659820,478298.977668
181,510396.245101,523911.189217
182,543695.272519,512987.878605
183,509649.302424,554332.991611
184,542010.960535,532960.852618
185,440513.648051,490792.990451
186,582287.528360,509521.059063
187,513313.347950,471109.153381
188,498256.372363,500369.224029
189,468086.186909,512592.755344
190,526452.428195,513886.591104
191,472486.692213,481244.904892
192,418865.933343,458846.294731
193,502255.525700,481855.528446
194,491489.933958,506681.652045
195,464901.778348,493708.544622
196,468340.967235,486614.391738
197,491873.759411,518321.358680
198,589717.181006,516719.227191
199,528550.152148,525959.909610
200,522449.344689,515316.120604
201,472580.092264,506915.902846
202,498623.834111,493145.711164
203,528414.603166,515301.855340
204,502661.129714,553846.422961
205,515030.729058,506630.518536
206,510870.617630,490161.678285
207,497124.044277,477785.402542
208,512344.661762,495609.267654
209,556073.290928,519943.080212
210,563579.896390,524127.706218
211,519646.112385,503833.508743
212,520434.534008,503076.029299
213,494355.904554,458820.867981
214,498486.052856,506685.282060
215,518511.045023,502721.790353
216,449349.079116,506144.971665
217,450531.533955,502018.334459
218,488879.420483,475256.179931
219,469938.601012,483507.473954
220,414639.384352,452947.321084
221,485547.685774,500224.478573
222,506486.511649,505283.397170
223,516796.499384,490840.954746
224,506290.653184,471213.425377
225,451000.517175,496119.077629
226,600097.328815,533660.313497
227,519852.951863,505887.655471
228,532308.774093,524765.136304
229,582607.263077,524614.783665
230,485770.969722,447561.378084
231,470109.495135,478559.048724
232,487065.631967,504069.740799
233,522329.143253,518405.147971
234,517838.494714,501333.902889
235,473914.105888,489137.438586
236,576516.979207,525330.681261
237,459602.248794,485047.041313
238,515847.733237,498355.903216
239,433615.545550,463172.149778
240,519423.261440,500365.880833
241,532640.835130,521898.119084
242,449213.833953,477218.683213
243,506575.172925,466195.441588
244,530339.874522,513333.887976
245,496530.622940,492428.805022
246,556030.130376,496495.781286
247,516497.046194,500736.726185
248,543666.049334,514520.568875
249,499909.489671,479574.586640
250,486596.648449,493825.838548
251,503289.708255,476398.075394
252,537847.525811,513616.666176
253,498602.734702,483781.149071
254,526827.646593,502578.481394
255,467318.047999,523231.552332
256,473311.771537,487382.909592
257,433844.839195,494253.243918
258,503322.142526,494168.227760
259,481235.800691,499642.970336
260,587299.648112,521520.402209
261,527334.561519,493431.679199
262,435748.997858,493852.861855
263,486979.300678,498657.961861
264,555421.663559,540647.497951
265,493255.097812,506100.763858
266,507336.795928,487420.144726
267,461042.099651,488435.491649
268,516782.937490,491360.693772
269,513287.399640,506345.026790
270,446030.839318,504924.539069
271,491849.013687,522716.533352
272,620496.552658,505811.646699
273,464141.617766,488956.662966
274,591414.744528,516888.314568
275,539751.741616,502151.462452
276,469599.463110,484528.024885
277,437728.051749,502791.191962
278,507613.090642,517083.186156
279,517219.314097,495309.017905
280,511047.967000,454432.692147
281,506879.186270,486452.473430
282,536399.503053,511643.716268
283,427148.838759,480113.235568
284,509926.864885,484593.264752
285,458498.257248,478738.636833
286,526737.234375,504580.421512
287,510876.736091,510452.695040
288,520421.874767,505827.462700
289,499150.317675,486657.710724
290,526793.985320,497543.888165
291,525019.856615,492910.310441
292,473834.849301,491508.825456
293,512202.040881,517411.169101
294,478041.040411,491986.296001
295,516789.315867,501225.287438
296,463858.611648,503039.079917
297,465987.762642,503917.296844
298,481168.633780,498853.542743
299,466978.066671,502381.290283
300,478707.848343,496981.589620
301,480415.236513,496695.881424
302,496584.556383,504061.654864
303,505096.826356,475970.760123
304,539018.375241,505311.193273
305,491050.324637,491286.339670
306,473250.964526,505305.697548
307,551452.362089,494516.455825
308,454173.775073,519612.497086
309,527729.510772,498114.693646
310,419019.591884,504025.959446
311,515593.474666,509120.180729
312,489900.937356,502763.284340
313,518176.818253,508596.840065
314,553240.561278,530023.918006
315,496247.449658,516159.599675
316,498123.372200,485259.361271
317,519696.355403,495735.175139
318,493657.029383,537938.423361
319,456341.195236,486058.468276
320,522742.853465,488551.472637
321,496997.078289,501518.332935
322,500611.016714,497320.308232
323,446502.937668,490107.141153
324,469519.255955,494107.259677
325,445410.758673,505651.209428
326,508408.726951,489911.312429
327,469137.123363,487955.225104
328,490749.302347,510357.092961
329,469444.356241,483787.359260
330,528571.832997,508911.657651
331,429635.217996,486846.669649
332,538992.484292,527946.346737
333,413997.673017,489924.377382
334,537578.908698,528162.359417
335,540480.103314,511867.316191
336,478375.454549,505212.625192
337,469268.339805,460801.337628
338,510092.546000,495918.832552
339,521352.725721,507346.963789
340,441859.191133,507839.538418
341,538814.213707,525484.460852
342,484301.485379,475465.991917
343,539604.075736,491386.668242
344,488436.807703,494164.380763
345,478015.244316,528068.775715
346,538632.625969,487621.864788
347,486105.847917,487607.452331
348,525176.726354,521672.000885
349,517752.579911,485686.318177
350,491001.785021,487795.235309
351,566289.943414,507353.866028
352,472879.219462,493753.032590
353,481211.131755,508634.735795
354,449601.901819,505987.571878
355,523091.153210,516780.573440
356,538464.112656,510213.164346
357,520480.260161,483793.203657
358,553330.541583,523289.924904
359,460196.419890,470647.441040
360,480850.825948,500312.675982
361,511228.009864,505331.284059
362,495608.030099,487229.032923
363,501906.526300,513711.942823
364,507077.565835,503585.619176
365,505882.162658,500438.297407
366,468359.300856,517665.747621
367,558079.307899,534534.127587
368,454857.209897,480942.452533
369,479102.290794,479175.500008
370,550601.340032,493837.592730
371,472866.014849,482325.398225
372,579785.302878,520818.007405
373,539676.433403,494700.660349
374,542703.148992,502348.845609
375,502795.416192,506519.989951
376,532602.582513,506123.947294
377,524344.178845,532228.920277
378,480507.487259,503679.533063
379,471518.202953,500241.282664
380,494186.466065,496592.182094
381,514443.345075,531105.880720
382,511563.370093,488453.465384
383,513682.482478,491021.747956
384,531837.697794,513799.737100
385,489757.422640,493436.926073
386,505292.945543,523182.181545
387,547714.484786,518780.008248
388,516078.853210,504061.262164
389,563139.450437,532221.064968
390,494419.170709,492529.311731
391,545574.244911,502887.443749
392,519744.953376,493752.579843
393,467025.700410,510019.201199
394,569936.175412,506722.406142
395,491238.487273,496158.806467
396,477215.470143,501135.888364
397,506340.425921,490940.707204
398,537782.915097,504677.436886
399,506900.822340,490883.977340
400,487273.795614,483335.748983
401,534354.409648,514608.850190
402,501721.052745,478792.449215
403,470968.567602,503955.271015
404,514903.879129,511372.720608
405,546735.198921,501853.158097
406,537053.313877,502539.693555
407,460285.820576,493837.365622
408,516635.209996,521990.458316
409,562495.684959,517921.577608
410,479399.854138,471436.288588
411,502719.569144,518004.731774
412,446006.821644,510919.559625
413,485310.810247,478070.672649
414,499335.379188,497142.803039
415,493352.085610,528164.977478
416,485711.296792,497527.723010
417,459337.727940,506241.386226
418,562084.680919,510173.067969
419,480875.370370,489138.342212
420,489629.618595,504934.074325
421,486786.100627,512396.566190
422,518669.241232,496332.589980
423,502277.195553,500528.970326
424,469818.088407,499140.763615
425,551803.552737,483748.890872
426,565592.176749,506328.472501
427,547669.683551,531210.817041
428,508986.729387,513528.272039
429,466210.524339,498958.807789
430,535748.459282,514126.158767
431,465016.689702,502152.773853
432,519869.908092,510350.049524
433,449474.478477,493406.743162
434,483673.175064,485817.999679
435,467341.590496,511091.331344
436,516999.782065,501491.564630
