100,UNIQUE_SUM: m=100 const anomaly=1
1,1046655.842015,984803.894375
2,1211071.034590,1434377.907049
3,1128886.025537,1328456.016228
4,1893029.662827,1694458.017260
5,2882805.308942,3469650.917613
6,3744164.376236,3132881.141167
7,4156853.023110,3980659.958383
8,3411296.642932,4018286.319069
9,3446205.176835,3677925.109196
10,4807248.040607,4953382.396795
11,5713951.058043,6295937.073080
12,7218269.402020,6298104.216521
13,8320165.127228,6572694.888079
14,6785108.300525,7614601.700213
15,5815981.340323,6429352.133171
16,8424443.312817,8258195.556839
17,7997143.148850,7780140.461802
18,7892843.129174,7203993.150041
19,7508845.124660,7677909.631323
20,10257165.019247,9378104.523284
21,12543633.728174,12326387.480109
22,14166922.371705,12127215.755287
23,11457957.403072,11570223.880521
24,11431559.891380,12600926.695846
25,14308975.009577,11540648.177017
26,12451458.278490,13145757.527951
27,15618538.298222,12436109.767142
28,11579951.848456,12895726.195604
29,14643651.101075,14017201.962433
30,21176208.340186,16253099.069959
31,15368282.868832,16061855.402390
32,17088766.050057,16734793.017207
33,17395239.945025,14585484.606143
34,20144891.842612,18725989.571123
35,16669564.341812,15494847.957497
36,19019308.232602,19549497.013458
37,20142743.230924,19138255.959207
38,20884172.144209,18177466.259626
39,16611370.414746,16799437.486453
40,19716401.483384,21482387.464134
41,20039705.972938,20838622.253097
42,18978826.506368,22593983.952359
43,22243330.184557,19326552.321869
44,23464454.594577,22291034.884347
45,26829730.898784,24037234.522394
46,19478289.586033,22350698.927914
47,23996043.424626,23200067.516628
48,20101323.570628,21531059.282308
49,26207973.526601,23192293.173244
50,24632727.599403,26454713.458129
51,29750004.962707,26933680.555000
52,25376582.518479,26187688.621844
53,24672396.188816,24620807.959085
54,27858314.954347,25993617.700694
55,21838096.290003,26435213.485388
56,30844478.695403,28355118.830603
57,36969598.493200,29396783.014732
58,28667435.797010,28325709.494658
59,34559122.188103,30595741.567485
60,32406525.975420,31922202.215833
61,40171339.268060,33653520.407867
62,29319472.685880,30618685.818252
63,29800467.103410,30678780.199826
64,31066290.870727,32434102.345859
65,30958446.670892,30799494.255830
66,35922043.896703,36422179.822017
67,43974312.448212,37664935.532782
68,35215081.370302,34959618.491245
69,33141699.925777,35778156.151612
70,35327246.449576,35182086.446480
71,39108119.448061,33393656.116155
72,37013216.019791,36586688.605960
