100,UNIQUE_SUM: m=100 const fibHash
1,106.763046,100.000000
2,185.717907,200.000000
3,279.602459,300.000000
4,397.284243,400.000000
5,574.257101,500.000000
6,707.366914,600.000000
7,947.228878,700.000000
8,1201.496271,800.000000
9,1532.333758,900.000000
10,1480.148194,1000.000000
11,1713.096122,1100.000000
12,1717.670022,1200.000000
13,1839.613816,1300.000000
14,1837.601739,1400.000000
15,1954.299683,1500.000000
16,2088.151888,1600.000000
17,2133.058211,1700.000000
18,2381.802797,1800.000000
19,2427.329389,1900.000000
20,2442.707710,2000.000000
21,2438.350305,2100.000000
22,2552.196237,2200.000000
23,2502.291782,2300.000000
24,2812.999249,2400.000000
25,2702.212259,2500.000000
26,2874.932003,2600.000000
27,2928.397413,2700.000000
28,3100.103275,2800.000000
29,3221.513774,2900.000000
30,3080.732005,3000.000000
31,3292.528193,3100.000000
32,3140.031209,3200.000000
33,3691.844860,3300.000000
34,3548.985837,3400.000000
35,3895.512614,3500.000000
36,3759.272949,3600.000000
37,3872.893046,3700.000000
38,3977.344059,3800.000000
39,4026.848442,3900.000000
40,3917.463508,4000.000000
41,4466.558880,4100.000000
42,4336.429607,4200.000000
43,4486.063897,4300.000000
44,4324.825483,4400.000000
45,4604.452606,4500.000000
46,4666.012088,4600.000000
47,4645.181348,4700.000000
48,4565.075969,4800.000000
49,4815.166255,4900.000000
50,5436.279675,5000.000000
51,5226.252884,5100.000000
52,5009.957062,5200.000000
53,4897.426888,5300.000000
54,5067.232605,5400.000000
55,6034.917550,5500.000000
56,6416.438556,5600.000000
57,5759.776196,5700.000000
58,5594.705301,5800.000000
59,5868.860843,5900.000000
60,6270.803190,6000.000000
61,6133.410826,6100.000000
62,6236.426888,6200.000000
63,6437.145743,6300.000000
64,5647.178093,6400.000000
65,7356.290870,6500.000000
66,6551.815104,6600.000000
67,6668.014970,6700.000000
68,6837.620093,6800.000000
69,6913.666497,6900.000000
70,7767.759211,7000.000000
71,7550.082884,7100.000000
72,7498.638020,7200.000000
73,7307.556096,7300.000000
74,8084.085644,7400.000000
75,8603.496213,7500.000000
76,7747.712091,7600.000000
77,7629.477328,7700.000000
78,8507.920199,7800.000000
79,9138.554700,7900.000000
80,8220.854494,8000.000000
81,7882.782639,8100.000000
82,8904.579815,8200.000000
83,9675.517775,8300.000000
84,8784.934635,8400.000000
85,8979.684120,8500.000000
86,9465.346647,8600.000000
87,9870.358688,8700.000000
88,9338.144215,8800.000000
89,8413.747176,8900.000000
90,10300.301089,9000.000000
91,10616.779606,9100.000000
92,9238.781751,9200.000000
93,10073.460621,9300.000000
94,10879.178476,9400.000000
95,10607.034456,9500.000000
96,9138.397124,9600.000000
97,10682.786380,9700.000000
98,11322.484025,9800.000000
99,9881.594572,9900.000000
100,11226.383674,10000.000000
101,13532.626152,10100.000000
102,11099.030152,10200.000000
103,10700.353273,10300.000000
104,12636.251211,10400.000000
105,11303.411910,10500.000000
106,11645.310361,10600.000000
107,13957.619844,10700.000000
108,12087.946117,10800.000000
109,12210.800936,10900.000000
110,13874.192403,11000.000000
111,12251.037446,11100.000000
112,11219.865249,11200.000000
