100,UNIQUE_SUM: m=100 range=(1; 1000) fibHash
1,873.935398,818.574807
2,1009.802491,1083.564251
3,1591.246084,1854.757495
4,2503.975055,2295.700799
5,3409.776612,3032.317904
6,3349.948837,3035.817683
7,3991.050412,3509.180397
8,4722.002619,3329.620812
9,5094.197416,3997.311504
10,2674.758624,2406.103463
11,6646.605105,4739.936598
12,7624.590587,6265.400167
13,8084.295026,6664.561978
14,6723.517430,6022.667546
15,9242.843761,8436.608223
16,11763.783769,9455.223860
17,8676.349125,7412.202516
18,12037.845250,9347.834307
19,10112.875910,8754.300067
20,11182.959904,9711.959729
21,13961.644945,11511.838453
22,13970.648786,10285.864809
23,14590.205804,10784.556973
24,9547.864695,8559.339026
25,12204.428636,11040.328485
26,11510.355076,11747.812344
27,17976.852377,14471.361046
28,17498.056185,14347.713196
29,20191.293751,17135.779949
30,15254.543956,12569.773898
31,18127.071989,14617.784664
32,18350.544217,15710.764852
33,19068.811578,16129.304631
34,20441.504361,19709.269077
35,17035.277170,16151.203191
36,22032.056739,18931.798777
37,21877.444303,19218.746238
38,22411.327418,18493.476522
39,24478.319711,20545.578591
40,21836.346602,21056.063936
41,21644.981523,21505.917316
42,23989.705075,21359.111658
43,27063.293943,23935.065265
44,22178.642587,22222.229911
45,24991.730463,23398.584153
46,23068.078052,20421.772105
47,25606.658333,24124.235516
48,25965.026442,25368.472040
49,25624.478616,26259.044743
50,28347.941592,23713.316469
51,29375.469562,26695.680020
52,29673.442540,26849.500302
53,25478.544931,27472.177596
54,26958.480259,26153.496693
55,25986.339379,23590.072098
56,27324.320883,25470.044489
57,31979.367406,27224.868364
58,35495.684856,34206.462552
59,29877.617858,27119.346928
60,35970.071791,30859.370558
61,27336.094572,26407.384834
62,33016.165895,30424.583257
63,29880.858423,30713.743514
64,33980.301328,34032.143655
65,36583.361467,31583.912208
66,29877.597975,28826.423310
67,36550.661074,35090.926511
68,35007.994377,32244.416531
69,37685.089519,35933.951234
70,39686.167573,34632.397690
71,35958.201490,36496.741490
72,41516.477089,38803.028578
73,29067.101479,30745.649659
74,44691.502078,38243.696897
75,45163.261524,39732.952868
76,43000.638579,36452.409116
77,45471.325508,43206.498053
78,37757.771373,34048.585064
79,41565.393961,33012.467518
80,48616.300569,42913.780812
81,49047.449738,47842.610135
82,42629.211208,37960.553800
83,48525.263055,39681.857354
84,48716.489595,43592.146139
85,44620.331276,41755.841900
86,48153.167493,39299.046175
87,48984.699381,41375.856524
88,49251.527624,42852.664941
89,46812.090372,43820.876304
90,53624.762663,43250.180766
91,50651.848501,48790.526082
92,50027.969246,47703.978864
93,54016.440440,48639.410737
94,55961.206270,48470.230383
95,53748.112708,47573.579062
96,47552.946038,47807.719895
97,59343.303515,51034.577012
98,53621.555072,46155.379561
99,54638.111396,53430.731727
100,50686.158337,46475.864252
101,62655.750170,45554.582334
102,64715.891661,55037.179605
103,49378.601006,48417.128640
104,66366.894686,53100.893536
105,59351.488567,56582.052613
106,57002.542737,52135.162791
107,65119.459833,57142.507724
108,63939.846882,51809.623732
109,61213.629773,57441.388890
110,62925.117820,49393.526050
111,67935.269743,57395.961377
112,61853.003882,60536.880172
113,84790.127168,62213.454265
114,58638.916375,52423.628462
115,66866.062207,58246.069425
116,74809.591759,58506.071905
117,62000.813520,61545.135921
118,69102.879509,59159.900665
119,73423.652430,59194.183880
120,87315.205370,65637.323864
121,69779.860435,58626.903367
122,75605.057037,68949.499103
123,73072.198933,62182.725253
124,72223.280442,62601.564298
125,71924.847941,68338.466826
126,72352.304503,59551.448756
127,74802.371005,66833.018040
128,64866.225710,58406.684947
129,84667.951581,65982.005344
130,62709.215930,64976.166848
131,75678.240714,66546.489910
132,73619.972729,65258.735543
133,73063.706981,64482.646488
134,69158.462807,61613.211633
135,80481.626048,66956.853162
136,65873.444764,59466.012710
137,78249.550014,71677.223907
138,78890.630655,69485.888796
139,85877.082988,68930.412101
140,86450.730146,74061.883573
141,89890.229952,71098.398925
142,80093.160147,70729.115738
143,107822.775244,73738.921275
144,75294.224893,68685.303871
145,93326.167045,72215.920915
146,71354.946846,70988.456474
147,79874.626944,72615.914046
148,99236.230101,70280.624385
149,80954.719243,78483.852403
150,92577.490733,75428.093259
151,80373.843157,72930.581370
152,98125.276232,79848.596926
153,91557.733658,75741.413466
154,95229.676340,73335.736614
155,98786.755829,78400.439625
156,111211.923774,85141.249297
157,87126.709261,77334.192451
158,113300.131558,78052.350588
159,82268.965507,75736.770789
160,113076.336050,80894.408297
161,91290.443211,86443.299551
162,107968.841588,78234.770574
163,86467.010913,85854.511942
164,112269.177772,81348.062420
165,94325.797119,87815.010914
166,98930.529309,81776.822585
167,96544.771740,84748.235391
168,107086.377258,83336.763030
169,109742.470175,88795.542962
170,118880.896776,90016.667698
171,94683.305439,82134.032768
172,119558.878665,95308.349563
173,104203.172072,80588.514766
174,100120.345521,85161.099663
175,107898.483918,85334.257339
176,99113.837466,85447.392946
177,121601.601657,88449.728489
178,94616.660214,87863.150752
179,131378.112136,91870.388867
180,87162.948471,84823.101919
181,129690.288519,93867.931685
182,95152.213322,93655.418226
183,144403.477775,90223.635256
184,110044.443732,95556.198437
185,115643.988067,94574.511394
186,108226.099002,82799.378365
187,125060.440891,97950.435665
188,131335.860394,103702.593923
189,126810.787105,104325.610089
190,108472.676855,96913.233811
191,124900.578181,100128.722722
192,105825.599850,92682.465077
193,128345.354958,96586.162739
194,121033.496081,97020.152527
195,113786.082694,95462.987042
196,111397.152097,95900.541952
197,132083.232397,97340.106142
198,151296.332402,102424.867036
199,136073.581536,95781.247271
200,107994.225911,98226.090052
201,131622.208486,100827.557944
202,135345.615325,110823.642173
203,119056.436272,105178.737042
204,140668.444798,100462.061256
205,119502.948451,104710.365492
206,134998.741819,91777.414722
207,159501.952981,104327.422437
208,134887.619772,106186.358413
209,159359.824606,107528.777505
210,107634.674840,97112.222705
211,138753.377375,100083.803410
212,125312.769475,102750.318023
213,134875.564052,103895.135438
214,128531.641264,103317.984016
215,154996.192457,112306.964225
216,132111.460643,109515.838834
217,153086.431555,108352.358683
218,146366.794746,101782.042303
219,149995.311408,113379.617181
220,147549.256334,120855.066434
221,118414.967834,105059.877581
222,142971.648648,111413.689193
223,119103.396912,101580.569347
224,146335.013240,116229.156368
225,131211.512631,112753.827286
226,143762.003465,112015.334484
227,132381.954778,114274.603821
228,185931.996311,121987.872990
229,135907.773513,111682.321462
230,126188.723050,114607.647932
231,172580.564326,110299.263737
232,135897.011184,114559.511617
233,137822.698460,113917.464732
234,163946.019741,121471.660355
235,169688.992645,121309.022281
236,128467.161071,112551.629732
237,158078.889164,126438.234435
238,166521.586424,117897.216036
239,169830.233969,121420.956316
240,172502.212284,127002.092704
241,168208.881835,128665.027129
242,192406.392923,126481.413954
243,189011.726472,128001.342046
244,193305.674779,125568.206113
245,149212.560444,117182.052321
246,162963.330513,121642.197938
247,165241.885152,126079.976042
248,170018.480926,128203.996169
249,185820.916755,124113.407717
250,150746.200830,130677.658377
251,168730.559095,126988.717371
252,214928.424670,122383.112421
253,173909.587838,127535.206480
254,164743.515025,125539.492435
255,202441.172169,131530.526866
256,175085.059204,130797.458945
257,178466.524390,129600.267145
258,156395.670824,126599.559215
259,168716.461152,131524.016644
260,204679.509602,131605.454496
261,159995.445350,126181.253619
262,181983.175248,130756.870748
263,190336.162205,135569.697801
264,170172.255677,130101.619619
265,204103.758654,134248.489322
266,179530.384604,127122.423799
267,231200.198077,136829.666683
268,185249.375409,137560.002650
269,173368.441040,136092.922025
270,173997.083219,127275.373133
271,193058.375067,138631.135608
272,175544.313288,140493.168488
273,194750.793493,138471.157188
274,184805.517496,138284.975708
275,203499.582476,147515.260949
276,195040.930034,140966.170984
277,168937.755788,137470.275218
278,179865.620706,132350.732328
279,186988.492108,136969.434377
280,213994.110848,140515.668286
281,181606.912090,138302.284214
282,171595.932951,141901.471428
283,210288.858954,140283.665249
284,171925.337174,138296.638018
285,189022.231906,141185.639689
286,246102.589581,142780.753015
287,202043.690708,150257.660960
288,210201.078402,145541.815986
289,238364.168164,142954.680340
290,175255.084708,137394.182565
291,231174.839096,152433.241444
292,203305.852950,139220.942429
293,217858.658973,154683.734058
294,181062.150555,143584.560027
295,194889.815709,148833.193661
296,204646.240355,141984.329430
297,245585.686209,159740.310292
298,245797.069276,148811.814953
299,259495.413637,157370.406192
300,186762.290822,151171.564178
301,230732.148941,149946.231910
302,216248.900729,154053.305802
303,242488.242946,152557.543937
304,176785.231529,146681.339490
305,200678.864105,152255.874296
306,213854.025145,157397.933646
307,205728.943793,151641.837630
308,238387.823879,156558.316540
309,252383.750740,163431.363909
310,261129.639731,157830.359251
311,231323.799369,159670.610227
312,180889.568113,145709.055599
313,203958.927843,152048.251283
314,201492.146870,151942.764975
315,263665.401995,152195.839037
316,203584.348571,157884.266225
317,224825.109844,145563.529194
318,290003.647344,161447.850416
319,250271.914220,162789.940971
320,223312.367190,165657.792045
321,256283.587424,163833.265010
322,252599.869446,160713.474586
323,231801.114855,170632.044178
324,261972.071266,161220.104674
325,229913.458015,161451.068607
326,296696.718563,171583.668493
327,217947.482155,148693.104255
328,242158.621438,149058.735437
329,244873.578800,165882.612122
330,212318.786467,165019.221435
331,255318.774570,166197.906610
332,218220.554753,161457.042976
333,227882.026457,167255.297722
334,242512.081793,169203.220203
335,272031.319465,177122.581227
336,219481.145910,168113.529807
337,283430.992708,170778.602174
338,250775.427494,177439.402372
339,230534.342234,162809.725943
340,249751.770847,164727.119326
341,321961.931928,180001.149213
342,279911.444362,169225.767765
343,243892.263578,166956.000006
344,262961.183087,171289.246355
345,251897.796764,176156.648689
346,265016.537986,172744.869092
347,256021.456013,174317.457353
348,258053.417296,167850.458828
349,306207.204908,180058.551810
350,279096.309653,179228.230742
351,307763.377920,181192.348568
352,264672.478505,172931.636919
353,259886.300076,183009.652790
354,242207.622666,168076.808932
355,287643.570925,176900.168112
356,255005.827388,173595.673546
357,262624.803532,175286.102789
358,233818.936021,177012.041399
359,295864.078882,192822.211631
360,282276.758655,187028.842421
361,258470.707001,176298.265108
362,252119.008328,178859.524938
363,268468.855794,180495.254351
364,214781.349644,178707.813480
365,305769.334686,185181.658854
366,280086.271423,178677.707266
367,275148.650406,190150.108661
368,312704.956048,193936.966297
369,290314.522498,193722.249447
370,262260.022384,177069.697992
371,282175.896256,194788.166428
372,276359.916482,189384.746010
373,290083.040949,191962.231207
374,298617.909987,189192.300698
375,293204.357053,187769.127063
376,312655.662954,198233.190224
377,275598.174618,185256.510112
378,270120.216055,200171.137675
379,241921.179471,188351.653033
380,282517.631273,191730.455055
381,238005.741831,193149.328211
382,246304.847663,185984.404626
383,273207.482346,193791.069551
384,262673.235686,190694.559332
385,266462.651512,188980.005121
386,279233.173254,200492.366597
387,316874.711422,190019.712254
388,269630.422586,199966.353917
389,259380.155541,195083.233037
390,247056.500027,194409.765337
391,231357.587138,195469.078704
392,294017.364803,203092.951760
393,306114.301910,197961.821925
394,221763.877032,197349.061686
395,266827.694639,189691.154587
396,240041.244131,201421.086964
397,298297.010365,200785.378462
398,285507.231245,202620.640710
399,296414.825375,204243.047693
400,362471.426520,200201.329813
401,269843.120760,194701.208985
402,254862.428404,197040.874559
403,213508.600274,200840.830812
404,281819.418786,200057.721510
405,251197.042800,203781.674368
406,323580.018246,203646.621630
407,260643.277483,193409.110531
408,304236.359408,199735.266484
409,266066.832180,202335.331353
410,301176.205668,202145.055006
411,291248.272982,206949.975964
412,330563.711656,219618.286488
413,320692.370653,217723.774126
414,309595.698082,209489.580777
415,245535.325409,204466.844972
416,288373.936601,210708.757461
417,246739.161770,197780.291028
418,330172.269200,215822.870911
