100,UNIQUE_SUM: m=100 const hash2
1,19.257635,100.000000
2,22.695178,200.000000
3,26.263548,300.000000
4,30.022752,400.000000
5,33.957331,500.000000
6,37.782743,600.000000
7,42.434293,700.000000
8,48.405300,800.000000
9,53.472161,900.000000
10,59.496215,1000.000000
11,67.800656,1100.000000
12,76.386219,1200.000000
13,85.232146,1300.000000
14,99.453823,1400.000000
15,114.972513,1500.000000
16,129.203242,1600.000000
17,79.229303,1700.000000
18,99.390367,1800.000000
19,118.173496,1900.000000
20,153.747028,2000.000000
21,185.865736,2100.000000
22,250.628356,2200.000000
23,255.454757,2300.000000
24,79.703773,2400.000000
25,115.684924,2500.000000
26,137.733615,2600.000000
27,201.549675,2700.000000
28,236.027356,2800.000000
29,171.273206,2900.000000
30,279.922393,3000.000000
31,543.023466,3100.000000
32,557.206074,3200.000000
33,82.977158,3300.000000
34,118.017155,3400.000000
35,168.978954,3500.000000
36,188.784215,3600.000000
37,154.653264,3700.000000
38,365.944071,3800.000000
39,484.639079,3900.000000
40,111.983901,4000.000000
41,170.321120,4100.000000
42,362.008341,4200.000000
43,214.875242,4300.000000
44,407.789291,4400.000000
45,1338.034900,4500.000000
46,74.398413,4600.000000
47,146.348143,4700.000000
48,175.308042,4800.000000
49,269.297193,4900.000000
50,349.552339,5000.000000
51,247.544567,5100.000000
52,246.803245,5200.000000
53,290.027915,5300.000000
54,541.526026,5400.000000
55,1033.455043,5500.000000
56,88.205107,5600.000000
57,190.497021,5700.000000
58,199.580819,5800.000000
59,581.591787,5900.000000
60,337.807134,6000.000000
61,319.961251,6100.000000
62,384.997869,6200.000000
63,3435.471645,6300.000000
64,534.541834,6400.000000
65,132.839872,6500.000000
66,213.345913,6600.000000
67,299.898141,6700.000000
68,269.624082,6800.000000
69,227.170576,6900.000000
70,739.252229,7000.000000
71,646.669070,7100.000000
72,404.981365,7200.000000
73,268.712993,7300.000000
74,518.462051,7400.000000
75,467.056758,7500.000000
76,303.334873,7600.000000
77,2260.489261,7700.000000
78,621.764457,7800.000000
79,153.103811,7900.000000
80,387.796672,8000.000000
81,225.053752,8100.000000
82,322.619903,8200.000000
83,1232.357179,8300.000000
84,709.683840,8400.000000
85,400.753106,8500.000000
86,668.435110,8600.000000
87,385.986890,8700.000000
88,394.254328,8800.000000
89,12780.219165,8900.000000
90,505.998933,9000.000000
91,170.132191,9100.000000
92,271.851533,9200.000000
93,260.832944,9300.000000
94,557.827433,9400.000000
95,626.182118,9500.000000
96,393.882009,9600.000000
97,464.407223,9700.000000
98,173.818526,9800.000000
99,586.630270,9900.000000
100,1565.493213,10000.000000
101,496.149746,10100.000000
102,371.486825,10200.000000
103,150.515856,10300.000000
104,1035.575940,10400.000000
105,1089.190095,10500.000000
106,505.083031,10600.000000
107,614.972709,10700.000000
108,193.827593,10800.000000
109,4876.641424,10900.000000
110,1081.505438,11000.000000
111,1126.248664,11100.000000
112,199.980568,11200.000000
113,647.187496,11300.000000
114,811.234308,11400.000000
115,591.717702,11500.000000
116,536.637247,11600.000000
117,183.969295,11700.000000
118,2628.590871,11800.000000
119,548.614327,11900.000000
120,829.614415,12000.000000
121,243.271457,12100.000000
122,1404.290845,12200.000000
123,506.255260,12300.000000
124,918.567673,12400.000000
125,342.181691,12500.000000
126,30552.460445,12600.000000
127,807.651815,12700.000000
128,131.082195,12800.000000
129,335.957852,12900.000000
130,544.536029,13000.000000
131,188.977845,13100.000000
132,595.839331,13200.000000
133,740.775381,13300.000000
134,1295.498771,13400.000000
135,330.757195,13500.000000
136,801.967495,13600.000000
137,938.099321,13700.000000
138,598.697356,13800.000000
139,726.050312,13900.000000
140,668.582506,14000.000000
141,3497.691356,14100.000000
142,312.234086,14200.000000
143,984.019191,14300.000000
144,737.536501,14400.000000
145,376.220260,14500.000000
146,300.367508,14600.000000
147,497.362961,14700.000000
148,2234.530671,14800.000000
149,520.448712,14900.000000
150,907.027551,15000.000000
151,1224.788513,15100.000000
152,480.970034,15200.000000
153,1322.838691,15300.000000
154,12245.832109,15400.000000
155,1552.905520,15500.000000
156,670.685813,15600.000000
157,945.825616,15700.000000
158,628.853456,15800.000000
159,271.477300,15900.000000
160,832.017205,16000.000000
161,1581.973255,16100.000000
162,724.522942,16200.000000
163,521.700098,16300.000000
164,1097.912418,16400.000000
165,594.002715,16500.000000
166,714.635269,16600.000000
167,5056.786053,16700.000000
168,1189.123038,16800.000000
169,944.085831,16900.000000
170,808.912100,17000.000000
171,389.401225,17100.000000
172,1065.492143,17200.000000
173,2604.593830,17300.000000
174,714.851137,17400.000000
175,2040.421198,17500.000000
176,763.396485,17600.000000
177,521.991974,17700.000000
178,58910.755322,17800.000000
179,1108.095986,17900.000000
180,798.338620,18000.000000
181,133.157573,18100.000000
182,453.623932,18200.000000
183,593.013579,18300.000000
184,1282.394143,18400.000000
185,305.825613,18500.000000
186,551.049124,18600.000000
187,1013.138600,18700.000000
188,1084.540407,18800.000000
189,3177.749393,18900.000000
190,353.003719,19000.000000
191,547.637941,19100.000000
192,1425.715292,19200.000000
193,821.845643,19300.000000
194,2158.722106,19400.000000
195,1178.375861,19500.000000
196,465.235152,19600.000000
197,1759.779065,19700.000000
198,657.601265,19800.000000
199,10041.105864,19900.000000
200,2609.231213,20000.000000
201,656.370286,20100.000000
202,1812.547937,20200.000000
203,469.830096,20300.000000
204,1640.912231,20400.000000
205,785.868404,20500.000000
206,497.194763,20600.000000
207,1620.838668,20700.000000
208,625.311185,20800.000000
209,5493.060928,20900.000000
210,1256.475727,21000.000000
211,1069.253255,21100.000000
212,1395.822920,21200.000000
213,1719.152222,21300.000000
214,2815.424100,21400.000000
215,714.675992,21500.000000
216,795.542741,21600.000000
217,1287.623728,21700.000000
218,135955.174434,21800.000000
219,3368.136906,21900.000000
220,350.173308,22000.000000
221,1362.475017,22100.000000
222,618.662694,22200.000000
223,1259.904184,22300.000000
224,598.605398,22400.000000
225,551.884151,22500.000000
226,781.229211,22600.000000
227,3248.047599,22700.000000
228,571.966551,22800.000000
229,1498.398310,22900.000000
230,822.778899,23000.000000
231,2045.070244,23100.000000
232,2153.747057,23200.000000
233,777.578186,23300.000000
234,753.006569,23400.000000
235,1461.467976,23500.000000
236,10009.097094,23600.000000
237,1170.378673,23700.000000
238,1270.950002,23800.000000
239,1253.445235,23900.000000
240,1637.897218,24000.000000
241,794.100712,24100.000000
242,775.212224,24200.000000
243,402.958311,24300.000000
244,5652.652690,24400.000000
245,1275.559430,24500.000000
246,1435.961795,24600.000000
247,594.746884,24700.000000
248,3175.452950,24800.000000
249,1012.731443,24900.000000
250,1039.890256,25000.000000
251,481.812461,25100.000000
252,70300.173848,25200.000000
253,1643.025596,25300.000000
254,1999.512508,25400.000000
255,681.081867,25500.000000
256,156.792659,25600.000000
257,572.285539,25700.000000
258,1278.377676,25800.000000
259,1361.284249,25900.000000
260,3429.512708,26000.000000
261,423.891334,26100.000000
262,745.263197,26200.000000
263,924.829045,26300.000000
264,2906.672611,26400.000000
265,1123.527068,26500.000000
266,2588.342677,26600.000000
267,13048.796113,26700.000000
268,2595.017779,26800.000000
269,740.369832,26900.000000
270,942.389022,27000.000000
271,2271.116180,27100.000000
272,1323.996995,27200.000000
273,1570.312819,27300.000000
274,2067.905153,27400.000000
275,4929.489399,27500.000000
276,629.650699,27600.000000
277,964.204624,27700.000000
278,1579.520223,27800.000000
279,1961.784149,27900.000000
280,1406.477512,28000.000000
281,1288.017161,28100.000000
282,32737.557064,28200.000000
283,1014.925923,28300.000000
284,1384.121249,28400.000000
285,2636.841647,28500.000000
286,832.669316,28600.000000
287,939.374209,28700.000000
288,1356.879292,28800.000000
289,3511.533863,28900.000000
290,1527.031709,29000.000000
291,545.559752,29100.000000
292,1299.305181,29200.000000
293,1025.136265,29300.000000
294,1233.231899,29400.000000
295,4241.037734,29500.000000
296,13421.925704,29600.000000
297,2328.605165,29700.000000
298,1151.483588,29800.000000
299,2269.838864,29900.000000
300,1727.168404,30000.000000
301,1101.278908,30100.000000
302,5253.636176,30200.000000
303,1239.318811,30300.000000
304,1437.072317,30400.000000
305,1622.346273,30500.000000
306,1557.159935,30600.000000
307,2186.950686,30700.000000
308,692.488725,30800.000000
309,28062.713810,30900.000000
310,3178.744084,31000.000000
311,620.482967,31100.000000
312,2737.673317,31200.000000
313,774.143188,31300.000000
314,832.618250,31400.000000
315,3397.759514,31500.000000
316,718.770211,31600.000000
317,1381.806948,31700.000000
318,1252.220433,31800.000000
319,370.189180,31900.000000
320,2356.724109,32000.000000
321,10268.400863,32100.000000
322,2760.728782,32200.000000
323,1637.584319,32300.000000
324,2171.474109,32400.000000
325,1688.728363,32500.000000
326,1943.959888,32600.000000
327,5811.786165,32700.000000
328,4177.245318,32800.000000
329,1432.693121,32900.000000
