100,UNIQUE_SUM: m=100 range=(1; 1000) hash2
1,104.272834,541.462300
2,74.339468,398.476156
3,189.353505,1719.556701
4,235.582280,1563.894109
5,269.608629,2638.124908
6,352.215322,3404.498046
7,303.582661,2954.683092
8,344.729412,2684.742453
9,516.969631,5410.497862
10,461.248652,5624.394266
11,626.705564,7202.424662
12,654.326571,6317.083683
13,822.909579,5512.812124
14,846.830181,7594.982042
15,1051.287326,7231.207441
16,1082.213749,7374.901095
17,627.315768,7651.811539
18,915.396438,7231.759006
19,1036.792652,9251.464387
20,1307.481779,10658.787490
21,1700.230710,10041.941634
22,2430.950333,11613.851109
23,1771.859726,11157.498282
24,639.844363,12701.585194
25,1139.794158,15567.870356
26,1227.415394,13199.172674
27,1898.932754,13920.053657
28,2029.340575,15652.650985
29,1614.924034,16234.603744
30,1797.310216,11896.640370
31,4338.019778,17610.461558
32,4762.257609,14147.691597
33,747.804789,17956.251543
34,1039.214860,16659.484309
35,1555.456160,16488.711281
36,1824.149932,21577.236909
37,1454.668279,20736.643641
38,3420.052508,17257.785595
39,4557.065136,16348.892540
40,978.782818,20131.357273
41,1402.173529,19589.991940
42,3407.953232,21396.206089
43,1857.272510,24422.460503
44,3742.602726,20088.884947
45,10328.569186,22699.941479
46,632.150858,21309.516795
47,1378.670434,23059.942911
48,1592.040219,19252.437513
49,2167.904786,23880.466288
50,3282.542438,24285.780080
51,1780.320838,25738.147717
52,2426.400218,30996.873262
53,2600.444413,25727.000869
54,4417.882006,25999.748990
55,8441.112174,23441.010894
56,792.615764,27744.298549
57,1690.278578,26023.074520
58,1623.767012,29179.026382
59,5296.069749,33027.117123
60,2801.888166,33324.306532
61,3041.788465,32803.691368
62,3197.870848,29226.021279
63,27688.301913,28499.629058
64,4081.673744,30020.893380
65,1251.060980,37054.576357
66,2067.026637,30482.610389
67,2710.718429,33479.304584
68,2329.872386,36711.330360
69,1963.408517,29399.432327
70,6574.618120,38584.225542
71,4477.609571,37432.420107
72,3594.852907,39548.767835
73,2372.270155,33599.814926
74,4676.646252,34845.542567
75,4346.227609,38524.579672
76,3030.091863,39897.369720
77,21838.644924,43530.409619
78,5622.316597,38642.997898
79,1282.850424,41515.138278
80,3588.130783,45646.532862
81,2048.045395,39657.462353
82,3004.784323,42961.589550
83,11215.163941,39034.701040
84,4378.885571,40424.953449
85,3784.845982,42555.386766
86,6395.204045,42942.410420
87,2832.379920,42199.697519
88,3545.046701,44285.627373
89,82129.484995,41382.565994
90,2968.076853,46626.160122
91,1445.368300,48593.748956
92,2531.731548,42558.676690
93,2330.150903,48306.529714
94,5397.825014,49406.887355
95,5688.865447,49016.755410
96,3397.476156,49641.722242
97,4503.511966,50825.340348
98,1529.017714,40873.304279
99,5299.684090,48229.010936
100,15330.589726,45581.391948
101,4477.556333,47726.491679
102,3484.437005,47187.410508
103,1271.566713,46309.539112
104,9523.161598,49691.164070
105,9840.660353,53717.284577
106,4439.075351,52150.823005
107,5658.262924,47226.967538
108,1666.862439,54495.933881
109,34455.478146,56171.191580
110,7684.581481,48211.864364
111,10601.152347,52693.313669
112,1888.756374,66645.712644
113,5775.300232,60076.293847
114,7895.434825,59455.326523
115,5179.998569,57264.785090
116,4993.292990,57611.959974
117,1730.886232,60564.665965
118,20896.668749,58550.713361
119,4303.788088,61527.179008
120,7607.595036,56975.258602
121,2350.869000,63132.050125
122,13761.953269,64134.074086
123,4540.807915,51980.283715
124,8437.493680,62407.763434
