50,UNIQUE_SUM: m=50 const anomaly=0
1,99.942329,100.000000
2,178.360945,200.000000
3,279.945722,300.000000
4,410.184457,400.000000
5,473.846153,500.000000
6,652.576036,600.000000
7,715.228727,700.000000
8,900.535934,800.000000
9,936.147667,900.000000
10,1006.012574,1000.000000
11,949.773991,1100.000000
12,1424.119916,1200.000000
13,1693.473868,1300.000000
14,1266.697812,1400.000000
15,1471.345333,1500.000000
16,1598.085600,1600.000000
17,1503.375335,1700.000000
18,2206.372713,1800.000000
19,1878.584032,1900.000000
20,2195.888074,2000.000000
21,1978.252193,2100.000000
22,2573.754708,2200.000000
23,2111.963004,2300.000000
24,2353.348683,2400.000000
25,2318.735606,2500.000000
26,2485.166769,2600.000000
27,3249.092739,2700.000000
28,2452.122548,2800.000000
29,3489.044754,2900.000000
30,3262.795743,3000.000000
31,3467.081244,3100.000000
32,3093.246276,3200.000000
33,3795.866365,3300.000000
34,3610.650327,3400.000000
35,5115.214298,3500.000000
36,3823.240353,3600.000000
37,3931.661368,3700.000000
38,3782.952645,3800.000000
39,3164.806698,3900.000000
40,4021.998840,4000.000000
41,4347.343075,4100.000000
42,4020.879451,4200.000000
43,5270.043689,4300.000000
44,4223.127380,4400.000000
45,4947.508311,4500.000000
46,5009.755248,4600.000000
47,6043.750935,4700.000000
48,4714.041038,4800.000000
49,4863.606056,4900.000000
50,4249.495307,5000.000000
51,5551.766460,5100.000000
52,5335.389850,5200.000000
53,5831.967981,5300.000000
54,7202.667703,5400.000000
55,3931.063259,5500.000000
56,5937.767555,5600.000000
57,6756.110701,5700.000000
58,5361.929357,5800.000000
59,7152.776693,5900.000000
60,6881.399838,6000.000000
61,7462.446125,6100.000000
62,5702.911868,6200.000000
63,6189.407921,6300.000000
64,6910.415410,6400.000000
65,5773.208032,6500.000000
66,7066.941795,6600.000000
67,7556.292388,6700.000000
68,8640.776668,6800.000000
69,6715.375895,6900.000000
70,6962.896291,7000.000000
71,7879.142244,7100.000000
72,6423.757750,7200.000000
73,5487.866730,7300.000000
74,7580.419438,7400.000000
75,8392.768635,7500.000000
76,12176.771491,7600.000000
77,10087.384201,7700.000000
78,7504.071471,7800.000000
79,11072.319764,7900.000000
80,6240.925547,8000.000000
81,7842.592969,8100.000000
82,8609.179977,8200.000000
83,7083.499021,8300.000000
84,12009.048041,8400.000000
85,9120.318899,8500.000000
86,12383.990237,8600.000000
87,10795.322807,8700.000000
88,8619.818809,8800.000000
89,7139.839642,8900.000000
90,9478.517909,9000.000000
91,9606.888432,9100.000000
92,9196.250221,9200.000000
93,8767.385858,9300.000000
94,10172.947901,9400.000000
95,10964.137702,9500.000000
96,8771.555417,9600.000000
97,11673.342693,9700.000000
98,9308.703765,9800.000000
99,10756.697218,9900.000000
100,11250.907415,10000.000000
101,8772.673348,10100.000000
102,11451.700221,10200.000000
103,9415.530566,10300.000000
104,8873.514780,10400.000000
105,9553.679893,10500.000000
106,10026.145044,10600.000000
107,11820.962325,10700.000000
108,10763.967835,10800.000000
109,13369.508007,10900.000000
110,10796.055616,11000.000000
111,10070.684423,11100.000000
112,12244.395732,11200.000000
113,9635.402876,11300.000000
114,9797.237263,11400.000000
115,10498.152848,11500.000000
116,12279.927702,11600.000000
117,11060.988252,11700.000000
118,10047.069913,11800.000000
119,14193.782517,11900.000000
120,13454.993829,12000.000000
121,13533.897440,12100.000000
122,11364.702317,12200.000000
123,12384.744509,12300.000000
124,13898.881568,12400.000000
125,11798.787816,12500.000000
126,9443.488640,12600.000000
127,11971.078396,12700.000000
128,12241.721907,12800.000000
129,12711.218886,12900.000000
130,16095.232793,13000.000000
131,13874.947135,13100.000000
132,15141.251868,13200.000000
133,13665.647939,13300.000000
134,14417.872999,13400.000000
135,14039.512785,13500.000000
136,11699.251257,13600.000000
137,14831.326187,13700.000000
138,12852.810705,13800.000000
139,14592.123811,13900.000000
140,15266.095044,14000.000000
141,15864.359337,14100.000000
142,13864.018044,14200.000000
143,14768.433241,14300.000000
144,14003.867780,14400.000000
145,13335.887914,14500.000000
146,13769.118068,14600.000000
147,15704.521355,14700.000000
148,18645.171883,14800.000000
149,16303.599865,14900.000000
150,13911.452253,15000.000000
151,16086.210275,15100.000000
152,14592.389369,15200.000000
153,13175.965155,15300.000000
154,12389.986843,15400.000000
155,15910.282828,15500.000000
156,11679.601914,15600.000000
157,18671.205905,15700.000000
158,20335.821578,15800.000000
159,15283.481924,15900.000000
160,24400.223364,16000.000000
161,17267.937024,16100.000000
162,13965.242595,16200.000000
163,14733.480267,16300.000000
164,14582.491419,16400.000000
165,14463.246883,16500.000000
166,18031.933765,16600.000000
167,14062.417659,16700.000000
168,16396.871334,16800.000000
169,15169.871029,16900.000000
170,13986.541323,17000.000000
171,17121.741549,17100.000000
172,15465.927500,17200.000000
173,17242.444981,17300.000000
174,16786.123717,17400.000000
175,15734.548120,17500.000000
176,20381.092340,17600.000000
177,15100.427753,17700.000000
178,19525.098318,17800.000000
179,17033.749951,17900.000000
180,13432.088143,18000.000000
181,18514.743399,18100.000000
182,19174.770541,18200.000000
183,22816.976952,18300.000000
184,19102.447857,18400.000000
185,19674.475166,18500.000000
186,19792.839074,18600.000000
187,20074.239685,18700.000000
188,22460.405157,18800.000000
189,20704.966085,18900.000000
190,18581.835258,19000.000000
191,14040.421713,19100.000000
192,18570.340427,19200.000000
193,18476.361105,19300.000000
194,20811.332142,19400.000000
195,19106.676043,19500.000000
196,27882.926923,19600.000000
197,20595.229486,19700.000000
198,16524.809590,19800.000000
199,21646.959651,19900.000000
200,18684.876322,20000.000000
201,22857.713426,20100.000000
202,30554.488938,20200.000000
203,18023.973914,20300.000000
204,27189.926464,20400.000000
205,26945.099614,20500.000000
206,20542.767373,20600.000000
207,22120.686159,20700.000000
208,20969.923817,20800.000000
209,19874.150276,20900.000000
210,19293.175073,21000.000000
211,26802.848213,21100.000000
212,23386.635280,21200.000000
213,15860.450601,21300.000000
214,21733.560233,21400.000000
215,17062.384677,21500.000000
216,22254.334243,21600.000000
217,22647.312600,21700.000000
218,21444.783054,21800.000000
219,24626.742977,21900.000000
220,17685.838021,22000.000000
221,17577.176844,22100.000000
222,24507.051607,22200.000000
223,14681.835119,22300.000000
224,27548.153658,22400.000000
225,23808.814153,22500.000000
226,18326.628565,22600.000000
227,24437.148462,22700.000000
228,20907.038674,22800.000000
229,19893.742868,22900.000000
230,18551.507931,23000.000000
231,24846.357628,23100.000000
232,22083.900393,23200.000000
233,23695.274875,23300.000000
234,25951.816026,23400.000000
235,26418.463970,23500.000000
236,19193.943384,23600.000000
237,24960.201631,23700.000000
238,17741.124806,23800.000000
239,21890.971144,23900.000000
240,27018.672294,24000.000000
241,25039.194879,24100.000000
242,27316.122699,24200.000000
243,23844.644112,24300.000000
244,24512.277739,24400.000000
245,23169.677826,24500.000000
246,22857.184141,24600.000000
247,27660.291771,24700.000000
248,25234.056990,24800.000000
249,28405.185767,24900.000000
250,25167.583458,25000.000000
251,22376.666528,25100.000000
252,23521.981479,25200.000000
253,22819.188744,25300.000000
254,25468.143277,25400.000000
255,21662.258454,25500.000000
256,24391.002472,25600.000000
257,22197.946305,25700.000000
258,26839.867139,25800.000000
259,28614.983432,25900.000000
260,22353.829374,26000.000000
261,21279.639990,26100.000000
262,30762.166192,26200.000000
263,31690.529737,26300.000000
264,35247.103805,26400.000000
265,34467.605696,26500.000000
266,25422.752225,26600.000000
267,25048.834840,26700.000000
268,23349.915622,26800.000000
269,24072.725501,26900.000000
270,28044.455994,27000.000000
271,23376.779685,27100.000000
272,21839.001172,27200.000000
273,23699.403260,27300.000000
274,25311.039358,27400.000000
275,26170.323059,27500.000000
276,26097.309717,27600.000000
277,30275.088075,27700.000000
278,27530.565293,27800.000000
279,26093.090648,27900.000000
280,23206.324629,28000.000000
281,24553.513453,28100.000000
282,25423.180716,28200.000000
283,30507.915254,28300.000000
284,22257.996408,28400.000000
285,37621.648218,28500.000000
286,29359.981470,28600.000000
287,25779.689549,28700.000000
288,42689.247986,28800.000000
289,31137.977858,28900.000000
290,32939.217537,29000.000000
291,20489.102132,29100.000000
292,37027.399829,29200.000000
293,30780.488210,29300.000000
294,31824.718198,29400.000000
295,33087.618793,29500.000000
296,33452.579809,29600.000000
297,29547.258643,29700.000000
298,33900.609744,29800.000000
299,31237.066907,29900.000000
300,29433.262814,30000.000000
301,30616.952463,30100.000000
302,27206.197365,30200.000000
303,32276.609121,30300.000000
304,30065.492776,30400.000000
305,27722.610996,30500.000000
306,29991.954539,30600.000000
307,25982.770562,30700.000000
308,29373.194309,30800.000000
309,31564.773551,30900.000000
310,32038.012586,31000.000000
311,27298.851620,31100.000000
312,32416.621915,31200.000000
313,33805.136108,31300.000000
314,26427.875377,31400.000000
315,28081.091622,31500.000000
316,24813.662619,31600.000000
317,27558.411097,31700.000000
318,28810.658698,31800.000000
319,25482.476867,31900.000000
320,36242.757240,32000.000000
321,35384.629897,32100.000000
322,26002.142247,32200.000000
323,25480.196131,32300.000000
324,35584.882803,32400.000000
325,27843.359011,32500.000000
326,23794.834631,32600.000000
327,40524.877704,32700.000000
328,27008.546935,32800.000000
329,29692.976905,32900.000000
330,27220.524458,33000.000000
331,34770.269531,33100.000000
332,30554.357552,33200.000000
333,33696.827829,33300.000000
334,37062.345426,33400.000000
335,39293.185124,33500.000000
336,34430.319195,33600.000000
337,33909.477602,33700.000000
338,30714.876018,33800.000000
339,27434.284690,33900.000000
340,41195.070909,34000.000000
341,36200.624079,34100.000000
342,35123.798493,34200.000000
343,32429.565574,34300.000000
344,32621.832061,34400.000000
345,42963.386102,34500.000000
346,32037.257269,34600.000000
347,34756.983039,34700.000000
348,34621.507609,34800.000000
349,27220.389489,34900.000000
350,31349.744790,35000.000000
351,32456.433579,35100.000000
352,35161.910944,35200.000000
353,37088.240019,35300.000000
354,42699.267394,35400.000000
355,29694.470842,35500.000000
356,42043.701219,35600.000000
357,28912.702707,35700.000000
358,25824.260386,35800.000000
359,32775.702051,35900.000000
360,39371.226912,36000.000000
361,33341.909827,36100.000000
362,33152.356642,36200.000000
363,32882.439492,36300.000000
364,39147.019973,36400.000000
365,34100.399386,36500.000000
366,36377.160810,36600.000000
367,30654.998127,36700.000000
368,36765.587073,36800.000000
369,34191.166976,36900.000000
370,37357.701741,37000.000000
371,35743.125150,37100.000000
372,37579.535175,37200.000000
373,37500.137295,37300.000000
374,32323.911929,37400.000000
375,45088.490326,37500.000000
376,38294.184124,37600.000000
377,41947.142326,37700.000000
378,41200.032794,37800.000000
379,38137.502441,37900.000000
380,34424.597396,38000.000000
381,33700.553944,38100.000000
382,40601.582979,38200.000000
383,52911.832286,38300.000000
384,34029.401890,38400.000000
385,30277.154497,38500.000000
386,39013.699152,38600.000000
387,34236.032431,38700.000000
388,37797.992014,38800.000000
389,34560.847262,38900.000000
390,44021.064967,39000.000000
391,28145.654184,39100.000000
392,32637.514578,39200.000000
393,48799.640234,39300.000000
394,29010.919502,39400.000000
395,36919.043026,39500.000000
396,42556.037340,39600.000000
397,36420.133335,39700.000000
398,42722.121727,39800.000000
399,44980.719828,39900.000000
400,36822.657121,40000.000000
401,36094.874955,40100.000000
402,43263.289363,40200.000000
403,46924.441762,40300.000000
404,49914.144373,40400.000000
405,50558.042895,40500.000000
406,29913.031220,40600.000000
407,46769.788168,40700.000000
408,42503.729550,40800.000000
409,38627.992564,40900.000000
410,39526.691212,41000.000000
411,37815.810429,41100.000000
412,42793.600533,41200.000000
413,48197.074661,41300.000000
414,33189.835900,41400.000000
415,48904.965069,41500.000000
416,35517.539725,41600.000000
417,57809.986239,41700.000000
418,46017.649761,41800.000000
419,36686.196950,41900.000000
420,42169.249291,42000.000000
421,40694.217228,42100.000000
422,38408.666287,42200.000000
423,41925.191764,42300.000000
424,52327.329054,42400.000000
425,37198.344617,42500.000000
426,30221.108281,42600.000000
427,40161.647667,42700.000000
428,38636.090047,42800.000000
429,42102.196030,42900.000000
430,53995.871060,43000.000000
431,43032.372578,43100.000000
432,61756.888857,43200.000000
433,57983.300531,43300.000000
434,42016.006206,43400.000000
435,49540.650400,43500.000000
436,38046.853019,43600.000000
437,37857.323576,43700.000000
438,45648.163292,43800.000000
439,45524.824604,43900.000000
440,36370.127573,44000.000000
441,33860.675370,44100.000000
442,52323.023224,44200.000000
443,48418.024183,44300.000000
444,49035.356143,44400.000000
445,38710.183319,44500.000000
446,36013.969811,44600.000000
447,41709.258844,44700.000000
448,46746.100191,44800.000000
449,63591.003414,44900.000000
450,47889.759842,45000.000000
451,43764.211816,45100.000000
452,51274.741328,45200.000000
453,43542.946414,45300.000000
454,53684.693178,45400.000000
455,32444.564930,45500.000000
456,33644.930112,45600.000000
457,42884.619675,45700.000000
458,36428.309731,45800.000000
459,39427.276183,45900.000000
460,35130.634076,46000.000000
461,45142.801516,46100.000000
462,41084.264643,46200.000000
463,44841.963044,46300.000000
464,41421.447616,46400.000000
465,43529.469736,46500.000000
466,42030.729835,46600.000000
467,62548.861375,46700.000000
468,36904.595762,46800.000000
469,53487.111356,46900.000000
470,49594.334620,47000.000000
471,53109.763787,47100.000000
472,46099.846720,47200.000000
473,42171.381345,47300.000000
474,41774.395355,47400.000000
475,43587.738984,47500.000000
476,36348.397866,47600.000000
477,37721.365039,47700.000000
478,48795.532397,47800.000000
479,44363.557261,47900.000000
480,36210.374136,48000.000000
481,46996.469277,48100.000000
482,47570.643949,48200.000000
483,40931.897106,48300.000000
484,50614.333781,48400.000000
485,51040.821457,48500.000000
486,45031.313301,48600.000000
487,48824.155766,48700.000000
488,49635.729147,48800.000000
489,51569.824351,48900.000000
490,47403.989657,49000.000000
491,44023.398227,49100.000000
492,47343.619986,49200.000000
493,57226.542422,49300.000000
494,47638.153268,49400.000000
495,39087.366418,49500.000000
496,43809.883809,49600.000000
497,50325.783423,49700.000000
498,44734.401958,49800.000000
499,55672.035058,49900.000000
500,55185.789742,50000.000000
501,46684.516020,50100.000000
502,65466.569475,50200.000000
503,45525.523335,50300.000000
504,35440.322956,50400.000000
505,38557.760668,50500.000000
506,45184.459566,50600.000000
507,68073.820877,50700.000000
508,51442.191986,50800.000000
509,38608.209239,50900.000000
510,42391.368029,51000.000000
511,58048.230182,51100.000000
512,52684.284992,51200.000000
513,49185.526151,51300.000000
514,47017.773848,51400.000000
515,72826.414805,51500.000000
516,53585.663303,51600.000000
517,63421.986364,51700.000000
518,48131.842192,51800.000000
519,52168.621133,51900.000000
520,71632.994727,52000.000000
521,54753.829263,52100.000000
522,45489.492047,52200.000000
523,53510.714117,52300.000000
524,75638.209716,52400.000000
525,49260.654294,52500.000000
526,43787.190592,52600.000000
527,46553.423343,52700.000000
528,72884.441091,52800.000000
529,47378.995066,52900.000000
530,45762.590600,53000.000000
531,48502.328727,53100.000000
532,51529.349250,53200.000000
533,54579.925821,53300.000000
534,52579.451194,53400.000000
535,68591.746672,53500.000000
536,53098.990594,53600.000000
537,61181.278566,53700.000000
538,57214.709140,53800.000000
539,49154.935917,53900.000000
540,48968.517721,54000.000000
541,59468.603445,54100.000000
542,46339.980247,54200.000000
543,47567.446272,54300.000000
544,46409.014599,54400.000000
545,52188.888662,54500.000000
546,52443.787062,54600.000000
547,68498.791802,54700.000000
548,60472.713313,54800.000000
549,51221.761473,54900.000000
550,52201.468382,55000.000000
551,48418.697951,55100.000000
552,74056.732169,55200.000000
553,41588.047208,55300.000000
554,57165.658774,55400.000000
555,68524.234273,55500.000000
556,58100.505260,55600.000000
557,53781.465859,55700.000000
558,57451.324278,55800.000000
559,53067.701997,55900.000000
560,54008.672329,56000.000000
561,55232.500086,56100.000000
562,62524.174536,56200.000000
563,50668.079960,56300.000000
564,60240.019632,56400.000000
565,74948.150327,56500.000000
566,43912.489359,56600.000000
567,40640.555672,56700.000000
568,55125.879146,56800.000000
569,63691.697312,56900.000000
570,67273.081478,57000.000000
571,44980.820986,57100.000000
572,57798.459518,57200.000000
573,65149.128480,57300.000000
574,48859.093213,57400.000000
575,48127.277327,57500.000000
576,47504.390772,57600.000000
577,65541.828154,57700.000000
578,73863.992494,57800.000000
579,47187.872530,57900.000000
580,53841.097571,58000.000000
581,61461.428243,58100.000000
582,54438.530592,58200.000000
583,61728.970959,58300.000000
584,61877.819117,58400.000000
585,47743.231351,58500.000000
586,52818.112996,58600.000000
587,64381.753839,58700.000000
588,59590.592914,58800.000000
589,54068.396555,58900.000000
590,50246.826624,59000.000000
591,65940.764304,59100.000000
592,55309.956655,59200.000000
593,77445.844549,59300.000000
594,60832.759315,59400.000000
595,69536.465029,59500.000000
596,61206.507495,59600.000000
597,56499.058079,59700.000000
598,71964.419828,59800.000000
599,67918.514455,59900.000000
600,49337.204224,60000.000000
601,44710.897113,60100.000000
602,54962.043409,60200.000000
603,67039.472871,60300.000000
604,59517.588826,60400.000000
605,72755.673407,60500.000000
606,52789.436072,60600.000000
607,63387.696656,60700.000000
608,66503.271102,60800.000000
609,59186.286760,60900.000000
610,55782.563267,61000.000000
611,98609.946276,61100.000000
612,56287.012912,61200.000000
613,55829.663606,61300.000000
614,62540.293166,61400.000000
615,52995.383243,61500.000000
616,69220.363059,61600.000000
617,60217.888544,61700.000000
618,49581.702951,61800.000000
619,67152.030870,61900.000000
620,57645.798035,62000.000000
621,56853.925385,62100.000000
622,67000.920816,62200.000000
623,71915.225533,62300.000000
624,63188.068432,62400.000000
625,56882.778151,62500.000000
626,66737.395413,62600.000000
627,71235.717651,62700.000000
628,73540.805511,62800.000000
629,48343.337429,62900.000000
630,57068.583483,63000.000000
631,65598.740111,63100.000000
632,51376.691460,63200.000000
633,65961.587969,63300.000000
634,56832.572776,63400.000000
635,70602.774020,63500.000000
636,72200.365967,63600.000000
637,63884.930041,63700.000000
638,77839.023829,63800.000000
639,74434.468982,63900.000000
640,59170.977650,64000.000000
641,56934.243281,64100.000000
642,68068.351745,64200.000000
643,60629.759636,64300.000000
644,66924.837899,64400.000000
645,52242.683085,64500.000000
646,62944.397718,64600.000000
