100,UNIQUE_SUM: m=100 range=(1; 10)
1,1.723849,1.621979
2,7.689514,9.276897
3,16.476366,19.072821
4,22.988808,20.521299
5,20.634961,21.078822
6,36.469663,33.888586
7,56.429065,51.035199
8,52.355871,57.533195
9,41.505099,40.779807
10,45.236048,48.185176
11,50.684833,54.752643
12,63.200714,54.632998
13,110.331846,92.134615
14,56.107108,65.164697
15,67.302772,68.573908
16,80.931417,84.882960
17,93.953258,100.431900
18,99.242592,89.847996
19,80.306564,79.455566
20,89.901816,91.265787
21,103.102209,95.294258
22,136.352902,125.642192
23,125.217967,120.196416
24,109.490851,111.489987
25,170.189125,139.536631
26,131.338475,132.892682
27,167.398864,141.746509
28,145.625793,158.748308
29,162.034793,148.378197
30,211.106508,170.252041
31,174.125708,168.164902
32,184.141902,189.523759
33,249.392072,197.661141
34,184.250728,188.372861
35,205.874902,183.687676
36,191.058277,204.666200
37,199.744693,198.354603
38,234.549915,218.925673
39,204.763969,218.353081
40,219.440406,235.278818
41,217.906018,234.677287
42,227.800027,254.409921
43,289.561961,235.465094
44,305.868755,264.702546
45,269.656509,268.657577
46,254.715185,274.530454
47,238.183631,220.419462
48,297.153474,258.128204
49,302.458574,287.652067
50,243.814966,288.702522
51,297.961924,289.905831
52,297.425682,279.277559
53,287.820554,286.111507
54,336.786488,288.401640
55,241.664535,302.209833
56,328.475669,312.232569
57,361.660586,316.964923
58,285.589314,311.627790
59,341.517814,315.287850
60,367.078298,373.235341
61,377.818478,336.195941
62,308.618021,353.192443
63,339.751193,354.444307
64,350.578692,356.014709
65,342.069327,332.365927
66,413.658843,371.125179
67,502.126682,399.443472
68,411.350886,362.651613
69,366.607845,399.657376
70,387.785748,376.022909
71,467.701470,364.331832
72,416.869164,403.856629
73,394.080525,386.026452
74,487.852248,443.241257
75,437.279733,431.201876
76,450.748324,397.895073
77,517.985537,417.725612
78,360.186268,435.286040
79,567.807169,440.585272
80,342.894241,432.206631
81,515.442780,448.099273
82,523.894195,459.213687
83,392.120349,447.877707
84,472.225557,416.524990
85,579.417485,500.444229
86,594.791639,482.592920
87,505.783629,461.389363
88,466.463663,451.095735
89,472.679117,503.222041
90,521.429958,483.431621
91,514.152526,496.551517
92,442.190027,469.027779
93,505.779710,477.302271
94,569.821217,544.668663
95,520.448349,544.121451
96,489.920790,509.113930
97,628.995189,565.446190
98,520.838073,564.173723
99,573.489887,592.084110
100,589.313286,562.060247
101,549.268870,530.958174
102,604.830298,541.597026
103,640.417657,559.219012
104,534.015055,568.806315
105,599.286449,630.052319
106,568.293773,587.027226
107,595.298050,588.016005
108,530.263532,537.685677
109,669.195106,593.352697
