100,UNIQUE_SUM: m=100 const shiftHash
1,0.000000,100.000000
2,0.000000,200.000000
3,0.000000,300.000000
4,0.000000,400.000000
5,0.000000,500.000000
6,0.000000,600.000000
7,0.000000,700.000000
8,0.000000,800.000000
9,0.000000,900.000000
10,0.000000,1000.000000
11,0.000000,1100.000000
12,0.000000,1200.000000
13,0.000000,1300.000000
14,0.000000,1400.000000
15,0.000000,1500.000000
16,0.000000,1600.000000
17,0.000000,1700.000000
18,0.000000,1800.000000
19,0.000000,1900.000000
20,0.000000,2000.000000
21,0.000000,2100.000000
22,0.000000,2200.000000
23,0.000000,2300.000000
24,0.000000,2400.000000
25,0.000000,2500.000000
26,0.000000,2600.000000
27,0.000000,2700.000000
28,0.000000,2800.000000
29,0.000000,2900.000000
30,0.000000,3000.000000
31,0.000000,3100.000000
32,0.000000,3200.000000
33,0.000000,3300.000000
34,0.000000,3400.000000
35,0.000000,3500.000000
36,0.000000,3600.000000
37,0.000000,3700.000000
38,0.000000,3800.000000
39,0.000000,3900.000000
40,0.000000,4000.000000
41,0.000000,4100.000000
42,0.000000,4200.000000
43,0.000000,4300.000000
44,0.000000,4400.000000
45,0.000000,4500.000000
46,0.000000,4600.000000
47,0.000000,4700.000000
48,0.000000,4800.000000
49,0.000000,4900.000000
50,0.000000,5000.000000
51,0.000000,5100.000000
52,0.000000,5200.000000
53,0.000000,5300.000000
54,0.000000,5400.000000
55,0.000000,5500.000000
56,0.000000,5600.000000
57,0.000000,5700.000000
58,0.000000,5800.000000
59,0.000000,5900.000000
60,0.000000,6000.000000
61,0.000000,6100.000000
62,0.000000,6200.000000
63,0.000000,6300.000000
64,0.000000,6400.000000
65,0.000000,6500.000000
66,0.000000,6600.000000
67,0.000000,6700.000000
68,0.000000,6800.000000
69,0.000000,6900.000000
70,0.000000,7000.000000
71,0.000000,7100.000000
72,0.000000,7200.000000
73,0.000000,7300.000000
74,0.000000,7400.000000
75,0.000000,7500.000000
76,0.000000,7600.000000
77,0.000000,7700.000000
78,0.000000,7800.000000
79,0.000000,7900.000000
80,0.000000,8000.000000
81,0.000000,8100.000000
82,0.000000,8200.000000
83,0.000000,8300.000000
84,0.000000,8400.000000
85,0.000000,8500.000000
86,0.000000,8600.000000
87,0.000000,8700.000000
88,0.000000,8800.000000
89,0.000000,8900.000000
90,0.000000,9000.000000
91,0.000000,9100.000000
92,0.000000,9200.000000
93,0.000000,9300.000000
94,0.000000,9400.000000
95,0.000000,9500.000000
96,0.000000,9600.000000
97,0.000000,9700.000000
98,0.000000,9800.000000
99,0.000000,9900.000000
100,0.000000,10000.000000
101,0.000000,10100.000000
102,0.000000,10200.000000
103,0.000000,10300.000000
104,0.000000,10400.000000
105,0.000000,10500.000000
106,0.000000,10600.000000
107,0.000000,10700.000000
108,0.000000,10800.000000
109,0.000000,10900.000000
110,0.000000,11000.000000
111,0.000000,11100.000000
112,0.000000,11200.000000
113,0.000000,11300.000000
114,0.000000,11400.000000
115,0.000000,11500.000000
116,0.000000,11600.000000
117,0.000000,11700.000000
118,0.000000,11800.000000
119,0.000000,11900.000000
120,0.000000,12000.000000
121,0.000000,12100.000000
122,0.000000,12200.000000
123,0.000000,12300.000000
124,0.000000,12400.000000
125,0.000000,12500.000000
126,0.000000,12600.000000
127,0.000000,12700.000000
128,0.000000,12800.000000
129,0.000000,12900.000000
130,0.000000,13000.000000
131,0.000000,13100.000000
132,0.000000,13200.000000
133,0.000000,13300.000000
134,0.000000,13400.000000
135,0.000000,13500.000000
136,0.000000,13600.000000
137,0.000000,13700.000000
138,0.000000,13800.000000
139,0.000000,13900.000000
140,0.000000,14000.000000
141,0.000000,14100.000000
142,0.000000,14200.000000
143,0.000000,14300.000000
144,0.000000,14400.000000
145,0.000000,14500.000000
146,0.000000,14600.000000
147,0.000000,14700.000000
148,0.000000,14800.000000
149,0.000000,14900.000000
150,0.000000,15000.000000
151,0.000000,15100.000000
152,0.000000,15200.000000
153,0.000000,15300.000000
154,0.000000,15400.000000
155,0.000000,15500.000000
156,0.000000,15600.000000
157,0.000000,15700.000000
158,0.000000,15800.000000
159,0.000000,15900.000000
160,0.000000,16000.000000
161,0.000000,16100.000000
162,0.000000,16200.000000
163,0.000000,16300.000000
