100,UNIQUE_SUM: m=100 range=(1; 1000) shiftHash
1,0.000000,493.129458
2,0.000000,262.130599
3,0.000000,1403.096869
4,0.000000,2349.889205
5,0.000000,3111.228050
6,0.000000,3395.244953
7,0.000000,3955.268505
8,0.000000,3834.461248
9,0.000000,4489.646310
10,0.000000,4161.995736
11,0.000000,3749.509972
12,0.000000,6327.851897
13,0.000000,4343.970193
14,0.000000,7511.440142
15,0.000000,8146.887001
16,0.000000,6390.723081
17,0.000000,8635.369748
18,0.000000,9072.149226
19,0.000000,8900.223303
20,0.000000,11285.040033
21,0.000000,9852.461642
22,0.000000,12117.878454
23,0.000000,10228.441694
24,0.000000,10500.491113
25,0.000000,14530.447781
26,0.000000,13943.474645
27,0.000000,12504.966221
28,0.000000,12844.511619
29,0.000000,13428.032513
30,0.000000,15537.190276
31,0.000000,16253.905155
32,0.000000,17457.685962
33,0.000000,15223.877222
34,0.000000,17787.679995
35,0.000000,15766.229307
36,0.000000,22515.776996
37,0.000000,17305.483789
38,0.000000,18371.546495
39,0.000000,21640.079388
40,0.000000,21436.246665
41,0.000000,20726.107948
42,0.000000,20724.531150
43,0.000000,23047.877539
44,0.000000,19863.653333
45,0.000000,23296.841647
46,0.000000,23349.904377
47,0.000000,22591.659882
48,0.000000,25671.268291
49,0.000000,27740.705510
50,0.000000,26616.001203
51,0.000000,23372.682960
52,0.000000,29762.800762
53,0.000000,27809.437980
54,0.000000,30462.305733
55,0.000000,26375.241411
56,0.000000,27359.672749
57,0.000000,29706.582230
58,0.000000,28704.817315
59,0.000000,33023.970121
60,0.000000,32574.234129
61,0.000000,30354.720739
62,0.000000,29958.125776
63,0.000000,32133.364268
64,0.000000,32372.359029
65,0.000000,34617.251787
66,0.000000,34006.187969
67,0.000000,35511.625595
68,0.000000,32472.792410
69,0.000000,37501.597917
70,0.000000,34086.078444
71,0.000000,37702.349954
72,0.000000,36088.404872
73,0.000000,35829.798383
74,0.000000,33426.384185
75,0.000000,38123.191566
76,0.000000,38180.365595
77,0.000000,38241.081916
78,0.000000,40479.402026
